Physical_rate, mental_rate, mngful_rate, speedot_rate
3.0, 4.2, 2.2, 3.0
4.0, 4.4, 4.6, 4.6
1.8, 5.0, 4.4, 4.8
4.0, 3.8, 3.2, 3.6
3.4, 4.8, 3.0, 3.0
3.0, 2.2, 2.6, 3.8
3.8, 3.4, 2.8, 2.8
2.0, 3.4, 2.8, 3.8
3.8, 4.4, 3.4, 3.0                     
3.2, 2.2, 1.0, 1.8
3.2, 3.0, 2.8, 3.0
5.0, 4.8, 4.0, 4.6
3.2, 3.4, 2.8, 3.6
4.2, 3.6, 2.8, 4.2
3.8, 3.8, 3.6, 4.0
4.2, 5.0, 3.2, 4.4
3.6, 3.0, 2.4, 3.4
3.0, 4.4, 2.4, 4.6
4.2, 4.0,  3.2, 3.8
1.8, 4.6, 2.2, 3.6
3.6, 4.0, 2.8, 4.2
3.2, 3.8, 2.8, 3.4
